"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_002E","B25004_002M","B25004_003E","B25004_003M","B25004_004E","B25004_004M","B25004_005E","B25004_005M","B25004_006E","B25004_006M","B25004_007E","B25004_007M","B25004_008E","B25004_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant",
"1400000US36005021502","Census Tract 215.02, Bronx County, New York","93","85","0","18","32","52","0","18","0","18","0","18","0","18","61","69",
"1400000US36005021601","Census Tract 216.01, Bronx County, New York","45","45","0","13","0","13","0","13","0","13","0","13","0","13","45","45",
"1400000US36005021602","Census Tract 216.02, Bronx County, New York","107","88","82","77","0","18","0","18","0","18","0","18","0","18","25","41",
"1400000US36005021700","Census Tract 217, Bronx County, New York","116","66","0","18","0","18","0","18","20","32","17","28","0","18","79","55",
"1400000US36005021800","Census Tract 218, Bronx County, New York","162","129","76","91","0","18","0","18","0","18","0","18","0","18","86","80",
"1400000US36005021900","Census Tract 219, Bronx County, New York","10","15","10","15","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005022000","Census Tract 220, Bronx County, New York","78","63","0","13","0","13","0","13","0","13","0","13","0","13","78","63",
"1400000US36005022101","Census Tract 221.01, Bronx County, New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005022102","Census Tract 221.02, Bronx County, New York","35","39","16","27","0","18","0","18","0","18","0","18","0","18","19","28",
"1400000US36005022200","Census Tract 222, Bronx County, New York","66","53","0","13","0","13","0","13","0","13","0","13","0","13","66","53",
"1400000US36005022300","Census Tract 223, Bronx County, New York","19","35","19","35","0","18","0","18","0","18","0","18","0","18","0","18",
