GEO_ID,NAME,B25004_001E,B25004_001M,B25004_002E,B25004_002M,B25004_003E,B25004_003M,B25004_004E,B25004_004M,B25004_005E,B25004_005M,B25004_006E,B25004_006M,B25004_007E,B25004_007M,B25004_008E,B25004_008M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!For rent,Margin of Error!!Total!!For rent,"Estimate!!Total!!Rented, not occupied","Margin of Error!!Total!!Rented, not occupied",Estimate!!Total!!For sale only,Margin of Error!!Total!!For sale only,"Estimate!!Total!!Sold, not occupied","Margin of Error!!Total!!Sold, not occupied","Estimate!!Total!!For seasonal, recreational, or occasional use","Margin of Error!!Total!!For seasonal, recreational, or occasional use",Estimate!!Total!!For migrant workers,Margin of Error!!Total!!For migrant workers,Estimate!!Total!!Other vacant,Margin of Error!!Total!!Other vacant
1400000US36061030300,"Census Tract 303, New York County, New York",101,73,30,37,0,12,0,12,0,12,47,53,0,12,24,38
1400000US36061030700,"Census Tract 307, New York County, New York",74,61,0,12,0,12,28,44,0,12,19,20,0,12,27,43
1400000US36061030900,"Census Tract 309, New York County, New York",140,99,49,57,0,19,0,19,0,19,20,34,0,19,71,75
1400000US36061031100,"Census Tract 311, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061031703,"Census Tract 317.03, New York County, New York",549,210,290,155,0,17,0,17,74,84,50,65,0,17,135,125
1400000US36061031704,"Census Tract 317.04, New York County, New York",809,277,89,102,0,17,72,118,76,121,338,222,0,17,234,169
1400000US36061031900,"Census Tract 319, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36063020100,"Census Tract 201, Niagara County, New York",253,101,146,92,32,49,52,55,0,12,0,12,0,12,23,27
1400000US36063020200,"Census Tract 202, Niagara County, New York",247,56,105,46,0,12,44,24,9,14,4,7,0,12,85,36
1400000US36063020300,"Census Tract 203, Niagara County, New York",23,28,16,25,0,12,0,12,0,12,0,12,0,12,7,12
1400000US36063020400,"Census Tract 204, Niagara County, New York",117,54,36,39,0,12,75,46,0,12,0,12,0,12,6,9
1400000US36063020500,"Census Tract 205, Niagara County, New York",525,110,297,102,19,30,178,89,0,12,0,12,0,12,31,32
1400000US36063020600,"Census Tract 206, Niagara County, New York",237,62,70,42,0,12,116,49,0,12,0,12,0,12,51,30
1400000US36063020700,"Census Tract 207, Niagara County, New York",261,85,123,72,0,12,75,69,0,12,0,12,0,12,63,69
1400000US36063020900,"Census Tract 209, Niagara County, New York",204,98,106,82,9,14,25,42,0,12,9,14,0,12,55,63
1400000US36063021000,"Census Tract 210, Niagara County, New York",190,102,62,55,0,12,86,81,0,12,8,12,0,12,34,41
1400000US36063021100,"Census Tract 211, Niagara County, New York",576,101,234,62,0,12,207,81,0,12,56,44,0,12,79,51
